country,metric,date,source_file
Yemen,political assassination,08-2025,Afghanistan
Colombia,political assassination,06-2025,Afghanistan
India,political assassination,04-2025,Afghanistan
India,ethnic tension,04-2025,Afghanistan
Mozambique,political assassination,10-2024,Afghanistan
Lebanon,political assassination,09-2024,Afghanistan
Colombia,political assassination,06-2025,Afghanistan
Azerbaijan,political assassination,10-2024,Afghanistan
United States,political assassination,11-2024,Afghanistan
Lebanon,political assassination,09-2024,Afghanistan
Libya,political assassination,05-2025,Afghanistan
Libya,political assassination,06-2025,Afghanistan
Canada,political assassination,09-2023,Afghanistan
United States,political assassination,01-2020,Afghanistan
Israel,political assassination,09-2024,Afghanistan
Democratic Republic of the Congo,military coup,05-2025,Afghanistan
Democratic Republic of the Congo,political assassination,07-2025,Afghanistan
Afghanistan,natural disaster,08-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,01-2023,Afghanistan
Afghanistan,natural disaster,02-2023,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,10-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,10-2023,Afghanistan
Afghanistan,natural disaster,11-2023,Afghanistan
Afghanistan,natural disaster,10-2022,Afghanistan
Afghanistan,natural disaster,11-2022,Afghanistan
Afghanistan,natural disaster,12-2022,Afghanistan
Afghanistan,natural disaster,10-2021,Afghanistan
Afghanistan,natural disaster,11-2021,Afghanistan
Afghanistan,natural disaster,12-2021,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,10-2023,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,09-2025,Afghanistan
Afghanistan,natural disaster,10-2024,Afghanistan
Afghanistan,natural disaster,11-2024,Afghanistan
Afghanistan,natural disaster,12-2024,Afghanistan
Afghanistan,natural disaster,06-2022,Afghanistan
Afghanistan,natural disaster,07-2022,Afghanistan
Afghanistan,natural disaster,06-2022,Afghanistan
Afghanistan,natural disaster,04-2024,Afghanistan
India,natural disaster,01-2019,Afghanistan
Afghanistan,natural disaster,01-2019,Afghanistan
Afghanistan,natural disaster,09-2024,Afghanistan
Afghanistan,natural disaster,10-2024,Afghanistan
Afghanistan,natural disaster,06-2022,Afghanistan
Syria,ethnic tension,03-2025,Afghanistan
Syria,ethnic tension,04-2025,Afghanistan
Pakistan,ethnic tension,11-2024,Afghanistan
Pakistan,ethnic tension,10-2024,Afghanistan
Afghanistan,ethnic tension,04-2024,Afghanistan
India,ethnic tension,06-2023,Afghanistan
India,ethnic tension,07-2023,Afghanistan
India,ethnic tension,08-2023,Afghanistan
India,ethnic tension,09-2023,Afghanistan
India,ethnic tension,11-2023,Afghanistan
Cyprus,natural disaster,07-2025,Akrotiri and Dhekelia
Various Countries,contested election,11-2024,Albania
Various Countries,contested election,12-2024,Albania
United States,natural disaster,07-2024,Albania
United States,natural disaster,08-2024,Albania
United States,natural disaster,09-2024,Albania
United States,natural disaster,10-2024,Albania
United States,natural disaster,11-2024,Albania
United States,natural disaster,12-2024,Albania
Albania,contested election,05-2025,Albania
Poland,contested election,06-2025,Albania
Guatemala,contested election,04-2023,Albania
Connecticut,contested election,02-2025,Albania
Connecticut,contested election,03-2025,Albania
Pakistan,contested election,02-2024,Albania
Albania,contested election,04-2021,Albania
Russia,crop failure,07-2025,Albania
Russia,crop failure,08-2025,Albania
Russia,crop failure,09-2025,Albania
Syria,crop failure,11-2024,Albania
Syria,crop failure,12-2024,Albania
Syria,crop failure,01-2025,Albania
Syria,crop failure,02-2025,Albania
Syria,crop failure,03-2025,Albania
Syria,crop failure,04-2025,Albania
Syria,crop failure,05-2025,Albania
Syria,crop failure,06-2025,Albania
Afghanistan,economic concern,04-2023,Albania
Afghanistan,economic concern,03-2023,Albania
Afghanistan,economic concern,02-2023,Albania
Afghanistan,economic concern,01-2023,Albania
Afghanistan,economic concern,12-2022,Albania
Ethiopia,economic concern,05-2024,Albania
Sub-Saharan Africa,crop failure,01-2021,Albania
Pakistan,economic concern,09-2024,Albania
Pakistan,economic concern,10-2024,Albania
Algeria,military coup,10-2023,Albania
Niger,military coup,07-2023,Albania
Albania,political assassination,05-2025,Albania
United States,political assassination,07-2024,Albania
United States,political assassination,07-2024,Albania
Kosovo,political assassination,01-2018,Albania
Kosovo,political assassination,01-2023,Albania
United States,political assassination,07-2024,Albania
Iran,political assassination,07-2025,Albania
Belgium,political assassination,07-2018,Albania
Germany,political assassination,08-2018,Albania
France,political assassination,06-2018,Albania
Palestinian Territories,political assassination,03-2018,Albania
Kosovo,political assassination,09-2023,Albania
Greece,natural disaster,08-2025,Albania
Albania,natural disaster,08-2025,Albania
Bulgaria,natural disaster,08-2025,Albania
Montenegro,natural disaster,08-2025,Albania
Portugal,natural disaster,08-2025,Albania
Spain,natural disaster,08-2025,Albania
France,natural disaster,08-2025,Albania
Greece,natural disaster,08-2025,Albania
Albania,natural disaster,08-2025,Albania
Turkey,natural disaster,08-2025,Albania
Montenegro,natural disaster,08-2025,Albania
Albania,natural disaster,08-2025,Albania
Albania,natural disaster,09-2025,Albania
Albania,natural disaster,08-2025,Albania
Albania,natural disaster,09-2025,Albania
Bosnia and Herzegovina,natural disaster,06-2024,Albania
Croatia,natural disaster,06-2024,Albania
Albania,natural disaster,06-2024,Albania
Albania,natural disaster,08-2025,Albania
Bosnia and Herzegovina,natural disaster,10-2024,Albania
Germany,natural disaster,09-2024,Albania
Afghanistan,natural disaster,09-2024,Albania
Oman,natural disaster,09-2024,Albania
Uruguay,natural disaster,09-2023,Albania
Argentina,natural disaster,09-2023,Albania
Albania,natural disaster,06-2021,Albania
Albania,natural disaster,07-2021,Albania
Albania,natural disaster,08-2021,Albania
Albania,natural disaster,09-2021,Albania
Albania,natural disaster,10-2021,Albania
Albania,natural disaster,11-2021,Albania
Albania,natural disaster,12-2021,Albania
Albania,natural disaster,01-2022,Albania
Albania,natural disaster,02-2022,Albania
Albania,natural disaster,03-2022,Albania
Albania,natural disaster,11-2019,Albania
Albania,natural disaster,12-2019,Albania
Syria,ethnic tension,03-2025,Albania
Syria,ethnic tension,02-2025,Albania
India,ethnic tension,06-2023,Albania
Serbia,contested election,05-2023,Albania
North Macedonia,ethnic tension,02-2021,Albania
North Macedonia,ethnic tension,08-2021,Albania
North Macedonia,ethnic tension,12-2021,Albania
Mozambique,contested election,10-2024,Algeria
Guatemala,contested election,07-2023,Algeria
Guatemala,contested election,08-2023,Algeria
Pakistan,contested election,02-2024,Algeria
Myanmar,military coup,02-2021,Algeria
Myanmar,military coup,02-2021,Algeria
Myanmar,military coup,02-2021,Algeria
Rwanda,contested election,07-2024,Algeria
Comoros,contested election,02-2021,Algeria
Chad,contested election,07-2024,Algeria
Myanmar,military coup,02-2021,Algeria
Russia,crop failure,07-2025,Algeria
Russia,crop failure,08-2025,Algeria
Russia,crop failure,09-2025,Algeria
Russia,crop failure,10-2025,Algeria
Southern Africa,crop failure,01-2025,Algeria
Southern Africa,crop failure,02-2025,Algeria
Southern Africa,crop failure,03-2025,Algeria
Southern Africa,crop failure,04-2025,Algeria
Southern Africa,crop failure,05-2025,Algeria
Southern Africa,crop failure,06-2025,Algeria
Southern Africa,crop failure,07-2025,Algeria
Southern Africa,crop failure,08-2025,Algeria
Southern Africa,crop failure,09-2025,Algeria
Southern Africa,crop failure,10-2025,Algeria
Syria,crop failure,01-2025,Algeria
Syria,crop failure,02-2025,Algeria
Syria,crop failure,03-2025,Algeria
Syria,crop failure,04-2025,Algeria
Syria,crop failure,05-2025,Algeria
Syria,crop failure,06-2025,Algeria
Afghanistan,crop failure,04-2022,Algeria
Syria,crop failure,02-2023,Algeria
Syria,crop failure,03-2023,Algeria
Syria,crop failure,04-2023,Algeria
Syria,crop failure,05-2023,Algeria
Syria,crop failure,06-2023,Algeria
Syria,crop failure,07-2023,Algeria
Syria,crop failure,08-2023,Algeria
Syria,crop failure,09-2023,Algeria
Syria,crop failure,10-2023,Algeria
Syria,crop failure,11-2023,Algeria
Syria,crop failure,12-2023,Algeria
Syria,crop failure,01-2024,Algeria
Syria,crop failure,02-2024,Algeria
Syria,crop failure,03-2024,Algeria
Syria,crop failure,04-2024,Algeria
Syria,crop failure,05-2024,Algeria
Syria,crop failure,06-2024,Algeria
Syria,crop failure,07-2024,Algeria
Syria,crop failure,08-2024,Algeria
Syria,crop failure,09-2024,Algeria
Syria,crop failure,10-2024,Algeria
Syria,crop failure,11-2024,Algeria
Syria,crop failure,12-2024,Algeria
Syria,crop failure,01-2025,Algeria
Sub-Saharan Africa,crop failure,01-2021,Algeria
Malawi,natural disaster,09-2024,Algeria
Malawi,natural disaster,10-2024,Algeria
Malawi,natural disaster,11-2024,Algeria
Malawi,natural disaster,12-2024,Algeria
Malawi,natural disaster,01-2025,Algeria
Malawi,natural disaster,02-2025,Algeria
Malawi,natural disaster,03-2025,Algeria
Zambia,crop failure,09-2024,Algeria
Zambia,crop failure,10-2024,Algeria
Zambia,crop failure,11-2024,Algeria
Zambia,crop failure,12-2024,Algeria
Zambia,crop failure,01-2025,Algeria
Zambia,crop failure,02-2025,Algeria
Zambia,crop failure,03-2025,Algeria
Zimbabwe,crop failure,09-2024,Algeria
Zimbabwe,crop failure,10-2024,Algeria
Zimbabwe,crop failure,11-2024,Algeria
Zimbabwe,crop failure,12-2024,Algeria
Zimbabwe,crop failure,01-2025,Algeria
Zimbabwe,crop failure,02-2025,Algeria
Zimbabwe,crop failure,03-2025,Algeria
Ethiopia,crop failure,08-2022,Algeria
Ethiopia,crop failure,09-2022,Algeria
Ethiopia,crop failure,10-2022,Algeria
Ethiopia,crop failure,11-2022,Algeria
Ethiopia,crop failure,12-2022,Algeria
Ethiopia,crop failure,01-2023,Algeria
Kenya,crop failure,08-2022,Algeria
Kenya,crop failure,09-2022,Algeria
Kenya,crop failure,10-2022,Algeria
Kenya,crop failure,11-2022,Algeria
Kenya,crop failure,12-2022,Algeria
Kenya,crop failure,01-2023,Algeria
Somalia,crop failure,08-2022,Algeria
Somalia,crop failure,09-2022,Algeria
Somalia,crop failure,10-2022,Algeria
Somalia,crop failure,11-2022,Algeria
Somalia,crop failure,12-2022,Algeria
Somalia,crop failure,01-2023,Algeria
Kenya,economic concern,06-2024,Algeria
Tunisia,economic concern,01-2024,Algeria
Tunisia,economic concern,02-2024,Algeria
Tunisia,economic concern,03-2024,Algeria
Tunisia,economic concern,04-2024,Algeria
Tunisia,crop failure,02-2023,Algeria
Israel,military coup,02-2023,Algeria
Israel,military coup,03-2023,Algeria
Algeria,military coup,07-2023,Algeria
Niger,military coup,07-2023,Algeria
Sudan,military coup,04-2019,Algeria
Burkina Faso,military coup,01-2022,Algeria
Burkina Faso,military coup,09-2022,Algeria
Mali,military coup,07-2024,Algeria
Mali,military coup,11-2023,Algeria
Algeria,economic concern,11-2020,Algeria
Algeria,economic concern,12-2020,Algeria
Algeria,economic concern,01-2021,Algeria
Algeria,economic concern,02-2021,Algeria
Gabon,contested election,03-2023,Algeria
Gabon,contested election,04-2023,Algeria
Qatar,military coup,09-2025,Algeria
Qatar,political assassination,09-2025,Algeria
Israel,political assassination,10-2024,Algeria
Ukraine,political assassination,08-2025,Algeria
Palestine,political assassination,03-2018,Algeria
Iraq,political assassination,01-2020,Algeria
Iran,political assassination,01-2020,Algeria
Ukraine,natural disaster,01-2020,Algeria
Algeria,natural disaster,02-2024,Algeria
Iran,natural disaster,08-2025,Algeria
Algeria,natural disaster,08-2025,Algeria
Morocco,natural disaster,09-2023,Algeria
Morocco,natural disaster,10-2023,Algeria
Morocco,natural disaster,11-2023,Algeria
Algeria,natural disaster,05-2023,Algeria
Algeria,natural disaster,06-2023,Algeria
Algeria,natural disaster,02-2024,Algeria
Algeria,natural disaster,05-2023,Algeria
Algeria,natural disaster,06-2023,Algeria
Algeria,natural disaster,08-2022,Algeria
Australia,natural disaster,10-2022,Algeria
Australia,natural disaster,11-2022,Algeria
Bulgaria,natural disaster,08-2022,Algeria
Croatia,natural disaster,07-2022,Algeria
France,natural disaster,07-2022,Algeria
France,natural disaster,08-2022,Algeria
Georgia,natural disaster,08-2022,Algeria
Algeria,natural disaster,08-2021,Algeria
Algeria,natural disaster,07-2023,Algeria
Algeria,natural disaster,08-2024,Algeria
Algeria,natural disaster,09-2024,Algeria
Algeria,natural disaster,10-2024,Algeria
Algeria,natural disaster,08-2020,Algeria
Morocco,natural disaster,09-2023,Algeria
Morocco,natural disaster,09-2024,Algeria
Morocco,natural disaster,10-2024,Algeria
Algeria,natural disaster,09-2024,Algeria
Algeria,natural disaster,10-2024,Algeria
Morocco,natural disaster,09-2024,Algeria
Morocco,natural disaster,03-2021,Algeria
Morocco,natural disaster,09-2024,Algeria
Morocco,natural disaster,10-2024,Algeria
Algeria,natural disaster,09-2024,Algeria
Algeria,natural disaster,11-2021,Algeria
Algeria,natural disaster,06-2021,Algeria
Algeria,natural disaster,07-2021,Algeria
Algeria,natural disaster,08-2021,Algeria
Algeria,natural disaster,08-2022,Algeria
Algeria,natural disaster,08-2021,Algeria
Morocco,natural disaster,09-2023,Algeria
Algeria,natural disaster,08-2021,Algeria
Algeria,natural disaster,09-2021,Algeria
Algeria,natural disaster,08-2021,Algeria
Pakistan,ethnic tension,11-2024,Algeria
Pakistan,ethnic tension,10-2024,Algeria
India,ethnic tension,06-2023,Algeria
India,ethnic tension,02-2023,Algeria
India,ethnic tension,03-2023,Algeria
India,ethnic tension,04-2023,Algeria
India,ethnic tension,05-2023,Algeria
India,ethnic tension,06-2023,Algeria
India,ethnic tension,07-2023,Algeria
India,ethnic tension,08-2023,Algeria
India,ethnic tension,09-2023,Algeria
India,ethnic tension,10-2023,Algeria
United States,contested election,02-2023,American Samoa
Guatemala,contested election,07-2023,American Samoa
Guatemala,contested election,08-2023,American Samoa
United States,contested election,11-2024,American Samoa
United States,contested election,11-2024,American Samoa
Russia,crop failure,07-2025,American Samoa
Syria,crop failure,11-2024,American Samoa
Syria,crop failure,12-2024,American Samoa
Syria,crop failure,01-2025,American Samoa
Syria,crop failure,02-2025,American Samoa
Syria,crop failure,03-2025,American Samoa
Syria,crop failure,04-2025,American Samoa
Syria,crop failure,05-2025,American Samoa
